ID,Name,Evolves_from,Type1,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
40,Wigglytuff,Jigglypuff,Normal,140,70,45,85,50,45
41,Zubat,,Poison,40,45,35,30,40,55
42,Golbat,Zubat,Poison,75,80,70,65,75,90
43,Oddish,,Grass,45,50,55,75,65,30
44,Gloom,Oddish,Grass,60,65,70,85,75,40
45,Vileplume,Gloom,Grass,75,80,85,110,90,50
46,Paras,,Bug,35,70,55,45,55,25
47,Parasect,Paras,Bug,60,95,80,60,80,30
48,Venonat,,Bug,60,55,50,40,55,45
49,Venomoth,Venonat,Bug,70,65,60,90,75,90
50,Alolan Diglett,,Ground,10,55,30,35,45,90
50,Diglett,,Ground,10,55,25,35,45,95
51,Alolan Dugtrio,Diglett,Ground,35,100,60,50,70,110
51,Dugtrio,Diglett,Ground,35,100,50,50,70,120
52,Meowth,,Normal,40,45,35,40,40,90
52,Alolan Meowth,,Dark,40,35,35,50,40,90
52,Galarian Meowth,,Steel,50,65,55,40,40,40
52,Meowth Gigantamax,Meowth,Normal,,,,,,
53,Persian,Meowth,Normal,65,70,60,65,65,115
53,Alolan Persian,Meowth,Dark,65,60,60,75,65,115
54,Psyduck,,Water,50,52,48,65,50,55
55,Golduck,Psyduck,Water,80,82,78,95,80,85
56,Mankey,,Fighting,40,80,35,35,45,70
57,Primeape,Mankey,Fighting,65,105,60,60,70,95
58,Hisuian Growlithe,,Fire,60,75,45,65,50,55
58,Growlithe,,Fire,55,70,45,70,50,60
59,Hisuian Arcanine,Growlithe,Fire,95,115,80,95,80,90
59,Arcanine,Growlithe,Fire,90,110,80,100,80,95
60,Poliwag,,Water,40,50,40,40,40,90
61,Poliwhirl,Poliwag,Water,65,65,65,50,50,90
62,Poliwrath,Poliwhirl,Water,90,95,95,70,90,70
63,Abra,,Psychic,25,20,15,105,55,90
64,Kadabra,Abra,Psychic,40,35,30,120,70,105
65,Alakazam,Kadabra,Psychic,55,50,45,135,95,120
65,Mega Alakazam,Alakazam,Psychic,55,50,65,175,105,150
66,Machop,,Fighting,70,80,50,35,35,35
67,Machoke,Machop,Fighting,80,100,70,50,60,45
68,Machamp Gigantamax,Machamp,Fighting,,,,,,
68,Machamp,Machoke,Fighting,90,130,80,65,85,55
69,Bellsprout,,Grass,50,75,35,70,30,40
70,Weepinbell,Bellsprout,Grass,65,90,50,85,45,55
71,Victreebel,Weepinbell,Grass,80,105,65,100,70,70
72,Tentacool,,Water,40,40,35,50,100,70
73,Tentacruel,Tentacool,Water,80,70,65,80,120,100
74,Geodude,,Rock,40,80,100,30,30,20
74,Alolan Geodude,,Rock,40,80,100,30,30,20
75,Graveler,Geodude,Rock,55,95,115,45,45,35
75,Alolan Graveler,Geodude,Rock,55,95,115,45,45,35
76,Golem,Graveler,Rock,80,120,130,55,65,45
76,Alolan Golem,Graveler,Rock,80,120,130,55,65,45
77,Ponyta,,Fire,50,85,55,65,65,90
77,Galarian Ponyta,,Psychic,50,85,55,65,65,90
78,Rapidash,Ponyta,Fire,65,100,70,80,80,105
78,Galarian Rapidash,Ponyta,Psychic,65,100,70,80,80,105
79,Galarian Slowpoke,,Psychic,90,65,65,40,40,15
79,Slowpoke,,Water,90,65,65,40,40,15
80,Mega Slowbro,Slowbro,Water,95,75,180,130,80,30
80,Galarian Slowbro,Slowpoke,Poison,95,100,95,100,70,30
80,Slowbro,Slowpoke,Water,95,75,110,100,80,30
81,Magnemite,,Electric,25,35,70,95,55,45
82,Magneton,Magnemite,Electric,50,60,95,120,70,70
83,Farfetch'd,,Normal,52,90,55,58,62,60
83,Galarian Farfetch'd,,Fighting,52,95,55,58,62,55
84,Doduo,,Normal,35,85,45,35,35,75
85,Dodrio,Doduo,Normal,60,110,70,60,60,110
86,Seel,,Water,65,45,55,45,70,45
87,Dewgong,Seel,Water,90,70,80,70,95,70
88,Grimer,,Poison,80,80,50,40,50,25
88,Alolan Grimer,,Poison,80,80,50,40,50,25
89,Alolan Muk,Grimer,Poison,105,105,75,65,100,50
89,Muk,Grimer,Poison,105,105,75,65,100,50
90,Shellder,,Water,30,65,100,45,25,40
91,Cloyster,Shellder,Water,50,95,180,85,45,70
92,Gastly,,Ghost,30,35,30,100,35,80
93,Haunter,Gastly,Ghost,45,50,45,115,55,95
94,Gengar,Haunter,Ghost,60,65,60,130,75,110
94,Gengar Gigantamax,Gengar,Ghost,,,,,,
94,Mega Gengar,Gengar,Ghost,60,65,80,170,95,130
95,Onix,,Rock,35,45,160,30,45,70
96,Drowzee,,Psychic,60,48,45,43,90,42
97,Hypno,Drowzee,Psychic,85,73,70,73,115,67
98,Krabby,,Water,30,105,90,25,25,50
99,Kingler Gigantamax,Kingler,Water,,,,,,
99,Kingler,Krabby,Water,55,130,115,50,50,75
100,Hisuian Voltorb,,Electric,40,30,50,55,55,100
100,Voltorb,,Electric,40,30,50,55,55,100
101,Hisuian Electrode,Voltorb,Electric,60,50,70,80,80,150
101,Electrode,Voltorb,Electric,60,50,70,80,80,150
102,Exeggcute,,Grass,60,40,80,60,45,40
103,Alolan Exeggutor,Exeggcute,Grass,95,105,85,125,75,45
103,Exeggutor,Exeggcute,Grass,95,95,85,125,75,55
104,Cubone,,Ground,50,50,95,40,50,35
105,Alolan Marowak,Cubone,Fire,60,80,110,50,80,45
105,Marowak,Cubone,Ground,60,80,110,50,80,45
106,Hitmonlee,Tyrogue,Fighting,50,120,53,35,110,87
107,Hitmonchan,Tyrogue,Fighting,50,105,79,35,110,76
108,Lickitung,,Normal,90,55,75,60,75,30
109,Koffing,,Poison,40,65,95,60,45,35
110,Weezing,Koffing,Poison,65,90,120,85,70,60
110,Galarian Weezing,Koffing,Poison,65,90,120,85,70,60
111,Rhyhorn,,Ground,80,85,95,30,30,25
112,Rhydon,Rhyhorn,Ground,105,130,120,45,45,40
113,Chansey,Happiny,Normal,250,5,5,35,105,50
114,Tangela,,Grass,65,55,115,100,40,60
115,Kangaskhan,,Normal,105,95,80,40,80,90
115,Mega Kangaskhan,Kangaskhan,Normal,105,125,100,60,100,100
116,Horsea,,Water,30,40,70,70,25,60
117,Seadra,Horsea,Water,55,65,95,95,45,85
118,Goldeen,,Water,45,67,60,35,50,63
119,Seaking,Goldeen,Water,80,92,65,65,80,68
120,Staryu,,Water,30,45,55,70,55,85
121,Starmie,Staryu,Water,60,75,85,100,85,115
122,Mime Galarian Mr. Mime,Mime-jr,Ice,50,65,65,90,90,100
122,Mr. Mime,Mime-jr,Psychic,40,45,65,100,120,90
123,Scyther,,Bug,70,110,80,55,80,105
124,Jynx,Smoochum,Ice,65,50,35,115,95,95
125,Electabuzz,Elekid,Electric,65,83,57,95,85,105
126,Magmar,Magby,Fire,65,95,57,100,85,93
127,Mega Pinsir,Pinsir,Bug,65,155,120,65,90,105
127,Pinsir,,Bug,65,125,100,55,70,85
128,Tauros,,Normal,75,100,95,40,70,110
129,Magikarp,,Water,20,10,55,15,20,80
130,Mega Gyarados,Gyarados,Water,95,155,109,70,130,81
130,Gyarados,Magikarp,Water,95,125,79,60,100,81
131,Lapras Gigantamax,Lapras,Water,,,,,,
131,Lapras,,Water,130,85,80,85,95,60
132,Ditto,,Normal,48,48,48,48,48,48
133,Partner Eevee,,Normal,65,75,70,65,85,75
133,Eevee Gigantamax,Eevee,Normal,,,,,,
133,Eevee,,Normal,55,55,50,45,65,55
134,Vaporeon,Eevee,Water,130,65,60,110,95,65
135,Jolteon,Eevee,Electric,65,65,60,110,95,130
136,Flareon,Eevee,Fire,65,130,60,95,110,65
137,Porygon,,Normal,65,60,70,85,75,40
138,Omanyte,,Rock,35,40,100,90,55,35
139,Omastar,Omanyte,Rock,70,60,125,115,70,55
140,Kabuto,,Rock,30,80,90,55,45,55
141,Kabutops,Kabuto,Rock,60,115,105,65,70,80
142,Aerodactyl,,Rock,80,105,65,60,75,130
142,Mega Aerodactyl,Aerodactyl,Rock,80,135,85,70,95,150
143,Snorlax Gigantamax,Snorlax,Normal,,,,,,
143,Snorlax,Munchlax,Normal,160,110,65,65,110,30
144,Galarian Articuno,,Psychic,90,85,85,125,100,95
144,Articuno,,Ice,90,85,100,95,125,85
145,Galarian Zapdos,,Fighting,90,125,90,85,90,100
145,Zapdos,,Electric,90,90,85,125,90,100
146,Galarian Moltres,,Dark,90,85,90,100,125,90
146,Moltres,,Fire,90,100,90,125,85,90
147,Dratini,,Dragon,41,64,45,50,50,50
148,Dragonair,Dratini,Dragon,61,84,65,70,70,70
149,Dragonite,Dragonair,Dragon,91,134,95,100,100,80
150,Mega Mewtwo Y,Mewtwo,Psychic,106,150,70,194,120,140
150,Mega Mewtwo X,Mewtwo,Psychic,106,190,100,154,100,130
150,Mewtwo,,Psychic,106,110,90,154,90,130
151,Mew,,Psychic,100,100,100,100,100,100
152,Chikorita,,Grass,45,49,65,49,65,45
153,Bayleef,Chikorita,Grass,60,62,80,63,80,60
154,Meganium,Bayleef,Grass,80,82,100,83,100,80
155,Cyndaquil,,Fire,39,52,43,60,50,65
156,Quilava,Cyndaquil,Fire,58,64,58,80,65,80
157,Hisuian Typhlosion,Quilava,Fire,73,84,78,119,85,95
157,Typhlosion,Quilava,Fire,78,84,78,109,85,100
158,Totodile,,Water,50,65,64,44,48,43
159,Croconaw,Totodile,Water,65,80,80,59,63,58
160,Feraligatr,Croconaw,Water,85,105,100,79,83,78
161,Sentret,,Normal,35,46,34,35,45,20
162,Furret,Sentret,Normal,85,76,64,45,55,90
163,Hoothoot,,Normal,60,30,30,36,56,50
164,Noctowl,Hoothoot,Normal,100,50,50,86,96,70
165,Ledyba,,Bug,40,20,30,40,80,55
166,Ledian,Ledyba,Bug,55,35,50,55,110,85
167,Spinarak,,Bug,40,60,40,40,40,30
168,Ariados,Spinarak,Bug,70,90,70,60,70,40
169,Crobat,Golbat,Poison,85,90,80,70,80,130
170,Chinchou,,Water,75,38,38,56,56,67
171,Lanturn,Chinchou,Water,125,58,58,76,76,67
172,Pichu,,Electric,20,40,15,35,35,60
173,Cleffa,,Fairy,50,25,28,45,55,15
174,Igglybuff,,Normal,90,30,15,40,20,15
175,Togepi,,Fairy,35,20,65,40,65,20
176,Togetic,Togepi,Fairy,55,40,85,80,105,40
177,Natu,,Psychic,40,50,45,70,45,70
178,Xatu,Natu,Psychic,65,75,70,95,70,95
179,Mareep,,Electric,55,40,40,65,45,35
180,Flaaffy,Mareep,Electric,70,55,55,80,60,45
181,Ampharos,Flaaffy,Electric,90,75,85,115,90,55
181,Mega Ampharos,Ampharos,Electric,90,95,105,165,110,45
182,Bellossom,Gloom,Grass,75,80,95,90,100,50
183,Marill,Azurill,Water,70,20,50,20,50,40
184,Azumarill,Marill,Water,100,50,80,60,80,50
185,Sudowoodo,Bonsly,Rock,70,100,115,30,65,30
186,Politoed,Poliwhirl,Water,90,75,75,90,100,70
187,Hoppip,,Grass,35,35,40,35,55,50
188,Skiploom,Hoppip,Grass,55,45,50,45,65,80
189,Jumpluff,Skiploom,Grass,75,55,70,55,95,110
190,Aipom,,Normal,55,70,55,40,55,85
191,Sunkern,,Grass,30,30,30,30,30,30
192,Sunflora,Sunkern,Grass,75,75,55,105,85,30
193,Yanma,,Bug,65,65,45,75,45,95
194,Wooper,,Water,55,45,45,25,25,15
195,Quagsire,Wooper,Water,95,85,85,65,65,35
196,Espeon,Eevee,Psychic,65,65,60,130,95,110
197,Umbreon,Eevee,Dark,95,65,110,60,130,65
198,Murkrow,,Dark,60,85,42,85,42,91
199,Slowking,Slowpoke,Water,95,75,80,100,110,30
199,Galarian Slowking,Slowpoke,Poison,95,65,80,110,110,30
200,Misdreavus,,Ghost,60,60,60,85,85,85
201,Unown,,Psychic,48,72,48,72,48,48
202,Wobbuffet,Wynaut,Psychic,190,33,58,33,58,33
203,Girafarig,,Normal,70,80,65,90,65,85
204,Pineco,,Bug,50,65,90,35,35,15
205,Forretress,Pineco,Bug,75,90,140,60,60,40
206,Dunsparce,,Normal,100,70,70,65,65,45
207,Gligar,,Ground,65,75,105,35,65,85
208,Steelix,Onix,Steel,75,85,200,55,65,30
208,Mega Steelix,Steelix,Steel,75,125,230,55,95,30
209,Snubbull,,Fairy,60,80,50,40,40,30
210,Granbull,Snubbull,Fairy,90,120,75,60,60,45
211,Hisuian Qwilfish,,Dark,65,95,85,55,55,85
211,Qwilfish,,Water,65,95,85,55,55,85
212,Mega Scizor,Scizor,Bug,70,150,140,65,100,75
212,Scizor,Scyther,Bug,70,130,100,55,80,65
213,Shuckle,,Bug,20,10,230,10,230,5
214,Heracross,,Bug,80,125,75,40,95,85
214,Mega Heracross,Heracross,Bug,80,185,115,40,105,75
215,Hisuian Sneasel,,Poison,55,95,55,35,75,115
215,Sneasel,,Dark,55,95,55,35,75,115
216,Teddiursa,,Normal,60,80,50,50,50,40
217,Ursaring,Teddiursa,Normal,90,130,75,75,75,55
218,Slugma,,Fire,40,40,40,70,40,20
219,Magcargo,Slugma,Fire,60,50,120,90,80,30
220,Swinub,,Ice,50,50,40,30,30,50
221,Piloswine,Swinub,Ice,100,100,80,60,60,50
222,Corsola,,Water,65,55,95,65,95,35
222,Galarian Corsola,,Ghost,60,55,100,65,100,30
223,Remoraid,,Water,35,65,35,65,35,65
224,Octillery,Remoraid,Water,75,105,75,105,75,45
225,Delibird,,Ice,45,55,45,65,45,75
226,Mantine,Mantyke,Water,85,40,70,80,140,70
227,Skarmory,,Steel,65,80,140,40,70,70
228,Houndour,,Dark,45,60,30,80,50,65
229,Houndoom,Houndour,Dark,75,90,50,110,80,95
229,Mega Houndoom,Houndoom,Dark,75,90,90,140,90,115
230,Kingdra,Seadra,Water,75,95,95,95,95,85
231,Phanpy,,Ground,90,60,60,40,40,40
232,Donphan,Phanpy,Ground,90,120,120,60,60,50
233,Porygon2,Porygon,Normal,85,80,90,105,95,60
234,Stantler,,Normal,73,95,62,85,65,85
235,Smeargle,,Normal,55,20,35,20,45,75
236,Tyrogue,,Fighting,35,35,35,35,35,35
237,Hitmontop,Tyrogue,Fighting,50,95,95,35,110,70
238,Smoochum,,Ice,45,30,15,85,65,65
239,Elekid,,Electric,45,63,37,65,55,95
240,Magby,,Fire,45,75,37,70,55,83
241,Miltank,,Normal,95,80,105,40,70,100
242,Blissey,Chansey,Normal,255,10,10,75,135,55
243,Raikou,,Electric,90,85,75,115,100,115
244,Entei,,Fire,115,115,85,90,75,100
245,Suicune,,Water,100,75,115,90,115,85
246,Larvitar,,Rock,50,64,50,45,50,41
247,Pupitar,Larvitar,Rock,70,84,70,65,70,51
248,Mega Tyranitar,Tyranitar,Rock,100,164,150,95,120,71
248,Tyranitar,Pupitar,Rock,100,134,110,95,100,61
249,Lugia,,Psychic,106,90,130,90,154,110
250,Ho-oh,,Fire,106,130,90,110,154,90
251,Celebi,,Psychic,100,100,100,100,100,100
252,Treecko,,Grass,40,45,35,65,55,70
253,Grovyle,Treecko,Grass,50,65,45,85,65,95
254,Mega Sceptile,Sceptile,Grass,70,110,75,145,85,145
254,Sceptile,Grovyle,Grass,70,85,65,105,85,120
255,Torchic,,Fire,45,60,40,70,50,45
256,Combusken,Torchic,Fire,60,85,60,85,60,55
257,Blaziken,Combusken,Fire,80,120,70,110,70,80
257,Mega Blaziken,Blaziken,Fire,80,160,80,130,80,100
258,Mudkip,,Water,50,70,50,50,50,40
259,Marshtomp,Mudkip,Water,70,85,70,60,70,50
260,Mega Swampert,Swampert,Water,100,150,110,95,110,70
260,Swampert,Marshtomp,Water,100,110,90,85,90,60
261,Poochyena,,Dark,35,55,35,30,30,35
262,Mightyena,Poochyena,Dark,70,90,70,60,60,70
263,Zigzagoon,,Normal,38,30,41,30,41,60
263,Galarian Zigzagoon,,Dark,38,30,41,30,41,60
264,Linoone,Zigzagoon,Normal,78,70,61,50,61,100
264,Galarian Linoone,Zigzagoon,Dark,78,70,61,50,61,100
265,Wurmple,,Bug,45,45,35,20,30,20
266,Silcoon,Wurmple,Bug,50,35,55,25,25,15
267,Beautifly,Silcoon,Bug,60,70,50,100,50,65
268,Cascoon,Wurmple,Bug,50,35,55,25,25,15
269,Dustox,Cascoon,Bug,60,50,70,50,90,65
270,Lotad,,Water,40,30,30,40,50,30
271,Lombre,Lotad,Water,60,50,50,60,70,50
272,Ludicolo,Lombre,Water,80,70,70,90,100,70
273,Seedot,,Grass,40,40,50,30,30,30
274,Nuzleaf,Seedot,Grass,70,70,40,60,40,60
275,Shiftry,Nuzleaf,Grass,90,100,60,90,60,80
276,Taillow,,Normal,40,55,30,30,30,85
277,Swellow,Taillow,Normal,60,85,60,75,50,125
278,Wingull,,Water,40,30,30,55,30,85
279,Pelipper,Wingull,Water,60,50,100,95,70,65
280,Ralts,,Psychic,28,25,25,45,35,40
281,Kirlia,Ralts,Psychic,38,35,35,65,55,50
282,Gardevoir,Kirlia,Psychic,68,65,65,125,115,80
282,Mega Gardevoir,Gardevoir,Psychic,68,85,65,165,135,100
283,Surskit,,Bug,40,30,32,50,52,65
284,Masquerain,Surskit,Bug,70,60,62,100,82,80
285,Shroomish,,Grass,60,40,60,40,60,35
286,Breloom,Shroomish,Grass,60,130,80,60,60,70
287,Slakoth,,Normal,60,60,60,35,35,30
288,Vigoroth,Slakoth,Normal,80,80,80,55,55,90
289,Slaking,Vigoroth,Normal,150,160,100,95,65,100
290,Nincada,,Bug,31,45,90,30,30,40
291,Ninjask,Nincada,Bug,61,90,45,50,50,160
292,Shedinja,Nincada,Bug,1,90,45,30,30,40
293,Whismur,,Normal,64,51,23,51,23,28
294,Loudred,Whismur,Normal,84,71,43,71,43,48
295,Exploud,Loudred,Normal,104,91,63,91,73,68
296,Makuhita,,Fighting,72,60,30,20,30,25
297,Hariyama,Makuhita,Fighting,144,120,60,40,60,50
298,Azurill,,Normal,50,20,40,20,40,20
299,Nosepass,,Rock,30,45,135,45,90,30
300,Skitty,,Normal,50,45,45,35,35,50
301,Delcatty,Skitty,Normal,70,65,65,55,55,90
302,Mega Sableye,Sableye,Dark,50,85,125,85,115,20
302,Sableye,,Dark,50,75,75,65,65,50
303,Mawile,,Steel,50,85,85,55,55,50
303,Mega Mawile,Mawile,Steel,50,105,125,55,95,50
304,Aron,,Steel,50,70,100,40,40,30
305,Lairon,Aron,Steel,60,90,140,50,50,40
306,Aggron,Lairon,Steel,70,110,180,60,60,50
306,Mega Aggron,Aggron,Steel,70,140,230,60,80,50
307,Meditite,,Fighting,30,40,55,40,55,60
308,Medicham,Meditite,Fighting,60,60,75,60,75,80
308,Mega Medicham,Medicham,Fighting,60,100,85,80,85,100
309,Electrike,,Electric,40,45,40,65,40,65
310,Manectric,Electrike,Electric,70,75,60,105,60,105
310,Mega Manectric,Manectric,Electric,70,75,80,135,80,135
311,Plusle,,Electric,60,50,40,85,75,95
312,Minun,,Electric,60,40,50,75,85,95
313,Volbeat,,Bug,65,73,75,47,85,85
314,Illumise,,Bug,65,47,75,73,85,85
315,Roselia,Budew,Grass,50,60,45,100,80,65
316,Gulpin,,Poison,70,43,53,43,53,40
317,Swalot,Gulpin,Poison,100,73,83,73,83,55
318,Carvanha,,Water,45,90,20,65,20,65
319,Mega Sharpedo,Sharpedo,Water,70,140,70,110,65,105
319,Sharpedo,Carvanha,Water,70,120,40,95,40,95
320,Wailmer,,Water,130,70,35,70,35,60
321,Wailord,Wailmer,Water,170,90,45,90,45,60
322,Numel,,Fire,60,60,40,65,45,35
323,Camerupt,Numel,Fire,70,100,70,105,75,40
323,Mega Camerupt,Camerupt,Fire,70,120,100,145,105,20
324,Torkoal,,Fire,70,85,140,85,70,20
325,Spoink,,Psychic,60,25,35,70,80,60
326,Grumpig,Spoink,Psychic,80,45,65,90,110,80
327,Spinda,,Normal,60,60,60,60,60,60
328,Trapinch,,Ground,45,100,45,45,45,10
329,Vibrava,Trapinch,Ground,50,70,50,50,50,70
330,Flygon,Vibrava,Ground,80,100,80,80,80,100
331,Cacnea,,Grass,50,85,40,85,40,35
332,Cacturne,Cacnea,Grass,70,115,60,115,60,55
333,Swablu,,Normal,45,40,60,40,75,50
334,Altaria,Swablu,Dragon,75,70,90,70,105,80
334,Mega Altaria,Altaria,Dragon,75,110,110,110,105,80
335,Zangoose,,Normal,73,115,60,60,60,90
336,Seviper,,Poison,73,100,60,100,60,65
337,Lunatone,,Rock,90,55,65,95,85,70
338,Solrock,,Rock,90,95,85,55,65,70
339,Barboach,,Water,50,48,43,46,41,60
340,Whiscash,Barboach,Water,110,78,73,76,71,60
341,Corphish,,Water,43,80,65,50,35,35
342,Crawdaunt,Corphish,Water,63,120,85,90,55,55
343,Baltoy,,Ground,40,40,55,40,70,55
344,Claydol,Baltoy,Ground,60,70,105,70,120,75
345,Lileep,,Rock,66,41,77,61,87,23
346,Cradily,Lileep,Rock,86,81,97,81,107,43
347,Anorith,,Rock,45,95,50,40,50,75
348,Armaldo,Anorith,Rock,75,125,100,70,80,45
349,Feebas,,Water,20,15,20,10,55,80
350,Milotic,Feebas,Water,95,60,79,100,125,81
351,Castform,,Normal,70,70,70,70,70,70
351,Castform Sunny Form,,Fire,70,70,70,70,70,70
351,Castform Rainy Form,,Water,70,70,70,70,70,70
351,Castform Snowy Form,,Ice,70,70,70,70,70,70
352,Kecleon,,Normal,60,90,70,60,120,40
353,Shuppet,,Ghost,44,75,35,63,33,45
354,Mega Banette,Banette,Ghost,64,165,75,93,83,75
354,Banette,Shuppet,Ghost,64,115,65,83,63,65
355,Duskull,,Ghost,20,40,90,30,90,25
356,Dusclops,Duskull,Ghost,40,70,130,60,130,25
357,Tropius,,Grass,99,68,83,72,87,51
358,Chimecho,Chingling,Psychic,75,50,80,95,90,65
359,Absol,,Dark,65,130,60,75,60,75
359,Mega Absol,Absol,Dark,65,150,60,115,60,115
360,Wynaut,,Psychic,95,23,48,23,48,23
361,Snorunt,,Ice,50,50,50,50,50,50
362,Mega Glalie,Glalie,Ice,80,120,80,120,80,100
362,Glalie,Snorunt,Ice,80,80,80,80,80,80
363,Spheal,,Ice,70,40,50,55,50,25
364,Sealeo,Spheal,Ice,90,60,70,75,70,45
365,Walrein,Sealeo,Ice,110,80,90,95,90,65
366,Clamperl,,Water,35,64,85,74,55,32
367,Huntail,Clamperl,Water,55,104,105,94,75,52
368,Gorebyss,Clamperl,Water,55,84,105,114,75,52
369,Relicanth,,Water,100,90,130,45,65,55
370,Luvdisc,,Water,43,30,55,40,65,97
371,Bagon,,Dragon,45,75,60,40,30,50
372,Shelgon,Bagon,Dragon,65,95,100,60,50,50
373,Mega Salamence,Salamence,Dragon,95,145,130,120,90,120
373,Salamence,Shelgon,Dragon,95,135,80,110,80,100
374,Beldum,,Steel,40,55,80,35,60,30
375,Metang,Beldum,Steel,60,75,100,55,80,50
376,Mega Metagross,Metagross,Steel,80,145,150,105,110,110
376,Metagross,Metang,Steel,80,135,130,95,90,70
377,Regirock,,Rock,80,100,200,50,100,50
378,Regice,,Ice,80,50,100,100,200,50
379,Registeel,,Steel,80,75,150,75,150,50
380,Mega Latias,Latias,Dragon,80,100,120,140,150,110
380,Latias,,Dragon,80,80,90,110,130,110
381,Latios,,Dragon,80,90,80,130,110,110
381,Mega Latios,Latios,Dragon,80,130,100,160,120,110
382,Primal Kyogre,Kyogre,Water,100,150,90,180,160,90
382,Kyogre,,Water,100,100,90,150,140,90
383,Primal Groudon,Groudon,Ground,100,180,160,150,90,90
383,Groudon,,Ground,100,150,140,100,90,90
384,Mega Rayquaza,Rayquaza,Dragon,105,180,100,180,100,115
384,Rayquaza,,Dragon,105,150,90,150,90,95
385,Jirachi,,Steel,100,100,100,100,100,100
386,Deoxys Defense Forme,,Psychic,50,70,160,70,160,90
386,Deoxys Attack Forme,,Psychic,50,180,20,180,20,150
386,Deoxys Normal Forme,,Psychic,50,150,50,150,50,150
386,Deoxys Speed Forme,,Psychic,50,95,90,95,90,180
387,Turtwig,,Grass,55,68,64,45,55,31
388,Grotle,Turtwig,Grass,75,89,85,55,65,36
389,Torterra,Grotle,Grass,95,109,105,75,85,56
390,Chimchar,,Fire,44,58,44,58,44,61
391,Monferno,Chimchar,Fire,64,78,52,78,52,81
392,Infernape,Monferno,Fire,76,104,71,104,71,108
393,Piplup,,Water,53,51,53,61,56,40
394,Prinplup,Piplup,Water,64,66,68,81,76,50
395,Empoleon,Prinplup,Water,84,86,88,111,101,60
